name,diameter,center_lon,center_lat
Blunck,66.48,323.10,-27.22
Martynov,61.13,323.58,-30.36
Vastitas Borealis,2002.91,32.52,87.72
Hephaestus Rup?s,1707.44,114.90,23.53
Australe Mensa,172,357.24,-86.87
Tenuis Cavus,51.52,1.38,84.76
Gemini Scopuli,1000.36,26.09,80.38
Artik,5.35,130.98,-34.80
Planum Australe,1429.87,157.69,-83.35
Koshoba,10.33,77.00,22.92
Gemina Lingula,772.89,2.59,81.87
Meridiani Planum,1058.53,356.86,-0.04
Ophir,0,295,-9.88
Phison,0,40,19.78
Acidalia Planitia,3362.97,339.26,49.75
Reutov,18.02,202.28,-45.07
Belyov,0.2,201.99,-45.02
Tyuratam,0.3,202.04,-45.04
Electris Mons,104.47,152.72,-45.66
Eridania Mons,143.28,137.86,-57.02
Sirenum Mons,122.85,212.15,-38.21
Sirenum Tholus,53.89,215.21,-34.64
Thaumasia,0,275,-34.68
New Bern,1.72,310.84,21.53
Novara,86.98,349.31,-24.89
Perepelkin,77.45,295.16,52.43
Port-Au-Prince,1.52,311.82,21.10
Portsmouth,1.49,310.92,22.54
Rahe,34.44,262.52,25.05
Rayleigh,125.65,118.94,-75.57
San Juan,1.23,311.96,22.87
Santa Cruz,1.35,312.73,21.24
Savannah,1.34,312.22,22.02
Sevel,7.38,323.78,79.21
Puyo,9.93,137.26,83.93
Tomari,5.29,113.78,19.98
Tombe,5.99,315.45,-42.40
Wilmington,1.34,312.52,21.60
Tycho Brahe,105.27,146.11,-49.40
Yungay,19.69,315.24,-43.86
Dilly,2.12,157.22,13.26
Crotone,6.27,290.68,82.21
Ausonia,0,110,-39.66
Aeolis Mons,88.99,137.84,-5.08
Victoria,0.88,354.50,-2.05
Tivoli,32.79,100.91,-14.32
Endeavour,21.77,354.80,-2.28
Amazonis,0,220,0
Toro,41.39,71.81,17.03
Charleston,1.96,312.20,22.62
Galap,5.98,192.93,-37.66
Saravan,46.88,305.98,-16.92
Danielson,64.29,352.94,7.97
Lipik,48.95,111.61,-38.41
Sarh,50.26,345.42,-64.84
Leighton,65.94,57.75,3.07
Cross,66.56,202.30,-30.19
Ausonia Montes,333.13,99.04,-25.41
Doba,25.88,119.62,10.91
Aonia Mons,27.06,272.08,-53.33
Asimov,80.82,4.92,-46.96
Neith Regio,0,88,37.67
Pursat,17.54,130.75,-37.35
Canillo,33.92,116.47,10.22
Kamnik,10.37,198.21,-37.20
Ehden,57.39,119.00,8.22
Gasa,7.02,129.39,-35.71
Horowitz,64.90,140.75,-32.05
Aonia Tholus,53.68,279.96,-59.03
Kandi,8.23,122.09,-32.74
Roseau,6.48,150.56,-41.68
Yaren,9.19,222.55,-43.88
Amenthes,0,110,4.94
Colón,1.36,312.93,22.74
Matara,48.84,34.59,-49.61
Siton Undae,222.97,297.28,75.55
Kibuye,7.14,181.81,-29.12
Cankuzo,48.44,52.03,-19.42
Luqa,17.13,131.82,-18.22
Oyama,100.77,339.88,23.56
Robert Sharp,152.07,133.42,-4.16
Avarua,49.98,109.66,-35.92
Aeolis Palus,111.62,137.42,-4.46
Harris,81.56,66.80,-21.90
Dowa,40.84,110.23,-31.65
Fitzroy,38.16,112.05,-35.68
Greg,68.12,112.89,-38.59
Pál,71.21,108.70,-31.30
Milna,27.47,347.76,-23.46
Vaduz,1.99,15.78,38.23
Alitus,49.99,321.85,-34.91
Annapolis,1.11,312.27,23.16
Cantoura,51.59,308.28,14.83
Cypress,14.67,312.64,-47.28
Tana Vallis,56.51,332.11,4.77
Du Toit,81.81,310.40,-71.62
Aeria,0,50,9.88
Aetheria,0,130,39.66
Aethiopis,0,130,9.88
Eberswalde,62.18,326.70,-23.97
Evpatoriya,1.03,134.36,46.95
Gah,2.77,327.36,-44.69
Nepenthes,0,100,19.78
Goldstone,1.02,134.58,47.76
Lucaya,34.21,51.90,-11.55
Groves,10.27,315.44,-4.06
Hamaguir,0.82,132.51,48.67
Hs?anch'eng,1.98,132.68,46.72
Argyre,0,335,-44.66
Inta,16.12,334.89,-24.35
Aeolis,0,145,-4.94
Johannesburg,1.21,133.18,47.92
Arcadia,0,260,44.66
Kagoshima,1.31,135.72,47.31
Kaliningrad,1.46,134.96,48.47
Kingston,1.51,312.96,22.10
La Paz,1.39,310.97,21.04
Aurorae Sinus,0,310,-14.83
Liais,122.78,106.92,-75.30
Lisboa,1.16,312.41,21.24
Manah,9.90,326.39,-4.65
Kontum,22.25,292.92,-32.03
Aonium Sinus,0,255,-44.66
Arabia,0,30,19.78
Lismore,9.34,318.35,27.04
Arnon,0,25,47.66
Makhambet,15.85,319.52,28.42
Martin,61.10,290.74,-21.34
Mazamba,52.29,290.32,-27.53
Nakusp,7.25,324.55,24.73
Baltia,0,310,59.70
Nereidum Fretum,0,305,-44.66
Pebas,5.43,359.04,-2.59
Ohara,9.36,82.48,4.91
Gehon,0,360,14.83
Nicer Vallis,22.60,201.80,-6.96
Sefadu,10.84,325.02,28.73
Runanga,41.36,75.95,-26.64
Shardi,16.70,344.67,10.04
Soffen,58.30,140.86,-23.72
Boreosyrtis,0,70,54.68
Taytay,18.16,340.40,7.38
Cyclopia,0,130,-4.94
Cydonia,0,360,39.66
Uzer,9.24,358.25,-1.21
Woking,9.53,82.99,5.11
Xainza,23.95,356.06,0.77
Yalgoo,17.38,84.22,4.93
Candor,0,285,2.96
Casius,0,100,39.66
Deltoton Sinus,0,55,-3.95
Ceraunius,0,267,19.78
Zarand,2.78,358.50,-3.41
Chaman,47.91,50.96,-60.86
Cebrenia,0,150,49.66
Cecropia,0,40,59.70
Cerberus,0,155,14.83
Chalce,0,360,-49.66
Dukhan,34.03,320.85,7.75
Eilat,29.70,50.20,-56.52
Chersonesus,0,100,-49.66
Kolonga,41.08,305.05,8.32
Moroz,116.30,339.42,-23.77
Chryse,0,330,9.88
Chrysokeras,0,250,-49.66
Henry Moore,65.47,53.89,-59.72
Pau,42.20,59.30,-55.40
Claritas,0,250,-34.68
Vernal,55.50,355.55,5.90
Wynn-Williams,66.30,60.21,-55.09
Electris,0,170,-44.66
Louth,36.28,103.23,70.18
Copais Palus,0,80,54.68
Coprates,0,295,-14.83
Elysium,0,150,24.74
Henbury,25.36,212.27,-63.49
Camichel,65.25,308.39,2.26
Laylá,19.35,107.11,-61.10
Lonar,11.07,38.28,72.99
Maricourt,9.89,288.83,53.33
Steinheim,11.27,190.64,54.57
Depressio Hellespontica,0,20,-59.70
Deucalionis Regio,0,20,-14.83
Deuteronilus,0,360,34.68
Diacria,0,180,49.66
Sinton,62.80,31.73,40.75
Jezero,47.52,77.68,18.40
Dioscuria,0,40,49.66
Miyamoto,145.20,353.05,-2.86
Liberta,25.10,304.55,35.22
Eunostos,0,240,21.76
Euphrates,0,25,19.78
Capen,68.98,14.31,6.58
Penticton,8.18,96.76,-38.37
Hyperboreus (Lacus),0,300,74.83
Coimbra,34.53,354.68,4.17
Sibut,22.17,310.64,9.67
Kalocsa,34.15,353.05,6.92
Edom,0,15,0
Mellit,22.53,358.26,7.12
Naruko,4.16,198.30,-36.23
Phedra,20.31,123.87,13.83
Eridania,0,140,-44.66
Tavua,31.55,117.61,15.62
Avire,6.85,200.24,-40.82
Naryn,3.93,123.29,14.88
Zaranj,27.40,113.05,12.09
Niquero,10.69,194.02,-38.78
Triolet,12.14,191.97,-37.08
Jamuna,0,320,9.88
Corinto,13.68,141.70,16.94
Thila,5.36,155.52,18.10
Wiltz,1.26,159.21,15.53
Heimdal,10.49,235.43,68.32
Bogia,37.67,83.26,-44.31
Okavango Valles,285.11,8.96,38.09
II Thyle I,0,180,-69.78
Yat,7.45,330.96,18.12
Yebra,4.84,105.68,20.79
Yegros,13.97,336.33,-22.30
Yorktown,8.00,311.34,22.87
Yoro,9.61,331.95,22.79
Yuty,19.05,325.90,22.15
Zutphen,38.28,174.31,-13.85
Zhigou,21.86,257.41,-29.10
Hellas,0,70,-39.66
Hellespontus,0,35,-49.66
Zilair,46.91,327.06,-31.80
Zir,6.15,323.45,18.54
Hesperia,0,120,-19.78
Hiddekel,0,15,14.83
