name,diameter,center_lon,center_lat
Sinus Lunicus,119.17,358.14,32.36
Marco Polo P,28.06,359.68,16.96
Vallis Krishna,2.89,11.26,24.50
Rima Sung-Mei,3.87,11.28,24.58
Rima Siegfried,13.95,103.00,-25.82
Rimae Sosigenes,130,18.71,8.08
Montanari,77.05,339.24,-45.82
Zeeman,186.55,224.93,-75.06
Bürg,41.04,28.20,45.07
Carlos,4.66,2.28,24.90
C. Herschel,13.70,328.70,34.48
Guericke S,10.18,346.60,-10.35
Calippus,34.03,10.71,38.92
Carol,6.25,122.36,8.47
Daniell,28.20,31.16,35.42
De Vico,22.13,299.68,-19.71
Dorsa Harker,213.14,63.65,13.78
Dorsa Cato,128.63,47.70,0.21
Eudoxus,70.15,16.22,44.26
Ewen,2.60,121.46,7.69
Fedorov,6.07,322.95,28.22
Florensky,69.03,131.85,25.45
Franklin,55.92,47.63,38.72
Freud,2.84,307.60,25.79
Gagarin,261.83,149.35,-19.65
Harding,22.57,288.34,43.54
Hermite,108.63,266.68,86.16
Harkhebi,337.13,98.74,40.87
Heron (Hero),28.10,119.87,0.65
Ivan,3.84,316.74,26.85
Hertzsprung,536.37,231.34,1.36
Hind,28.50,7.30,-7.91
Ina,2.98,5.30,18.65
Isis,0.60,27.48,18.95
Joliot,172.79,93.38,25.78
Kearons,27.99,247.08,-11.58
Karima,3.04,102.98,-25.93
Kira,6.80,132.83,-17.70
Kirch,11.70,354.37,39.26
Lacus Spei,76.67,65.20,43.46
Lacchini,57.94,252.17,41.29
Kundt,10.30,348.43,-11.56
Mach,174.96,210.76,18.12
Lacus Bonitatis,122.10,44.31,23.18
Lorentz,378.42,262.81,34.58
Lacus Gaudii,88.53,12.27,16.33
Lacus Hiemalis,48.04,13.97,15.00
Lacus Lenitatis,78.25,12.05,14.31
Lacus Luxuriae,50.61,175.50,19.40
Le Verrier,20.52,339.39,40.32
Mons Ampère,29.95,356.29,19.32
Mons Dilip,1.36,120.86,5.58
Nansen,116.9,95.38,81.17
MacMillan,6.87,352.15,24.20
Lundmark,103.44,152.55,-38.86
Mandel'shtam,181.89,162.38,5.69
Mare Australe,996.84,91.98,-47.77
Mare Spumans,143.13,65.30,1.30
Marth,6.53,330.64,-31.15
Mons Gruithuisen Delta,27.24,320.41,36.06
Mons Gruithuisen Gamma,19.65,319.27,36.55
Mons Usov,13.22,63.26,11.90
Mons Vinogradov,28.73,327.48,22.34
Montes Haemus,384.66,12.03,17.10
Montes Harbinger,92.69,318.70,26.89
Montes Pyrenaeus,251.33,41.50,-14.04
Poincaré,345.98,163.99,-56.86
Palus Somni,163.45,44.72,13.68
Promontorium Deville,16.55,1.13,43.30
Promontorium Agassiz,18.83,1.76,42.39
Stella,0.41,29.75,19.91
Reiner Gamma,73.44,301.04,7.38
Sinus Aestuum,316.49,351.66,12.09
Schickard,212.18,304.89,-44.37
Sinus Roris,195.04,309.14,50.26
Sinus Successus,126.65,58.51,1.12
Apollonius L,10.12,54.56,6.47
Taizo,8.18,2.19,24.70
Tikhomirov,86.42,161.33,24.19
Van de Graaff,240.46,172.00,-27.04
Vertregt,172.75,171.12,-19.29
Adams B,31.32,65.70,-31.54
Al-Khwarizmi G,102.83,107.34,6.75
Alden E,26.36,112.80,-23.41
Alexander K,3.95,19.34,40.52
Aliacensis K,5.64,6.25,-31.42
Hayford P,20.90,182.26,11.00
Fourier P,9.61,304.92,-31.11
Bridgman C,40.43,140.40,46.56
Maskelyne Y,4.27,28.16,1.72
Avicenna E,25.64,268.74,40.19
Barbier K,13.24,159.20,-26.28
Barocius C,35.84,17.47,-43.10
Bayer S,15.43,323.55,-52.32
Birkhoff M,25.32,214.93,54.50
Bolyai W,53.02,124.41,-32.04
Boscovich P,64.82,10.30,11.46
Briggs A,25.13,286.22,27.12
Brown E,23.18,342.37,-46.85
Buch E,8.31,16.50,-38.97
Bullialdus G,3.39,336.29,-23.27
Bullialdus H,4.37,340.63,-22.75
Bunsen B,21.48,271.97,44.10
Buys-Ballot H,24.03,179.60,19.52
Byrgius S,45.93,298.22,-26.06
Calippus A,15.71,7.87,37.05
Calippus C,37.69,9.15,39.43
Cannon E,25.86,78.99,19.26
Capuanus P,68.51,331.40,-35.44
Cassini A,16.75,4.77,40.51
Cassini W,5.46,4.25,42.34
Clairaut F,31.18,14.35,-45.77
Condorcet E,8.03,68.16,11.34
Daguerre K,5.43,35.78,-12.24
de Gasparis A,38.40,308.62,-26.73
De Vico A,34.08,296.38,-18.74
Delambre F,4.24,19.24,-1.06
Douglass X,24.18,235.91,38.05
Drebbel P,4.87,308.06,-39.72
Dubyago X,8.40,73.03,6.49
Egede E,3.61,10.43,49.73
Evershed S,47.23,197.16,34.50
Eratosthenes Z,0.57,345.90,13.74
Flammarion Y,2.30,356.80,-3.73
Flamsteed X,2.82,312.60,-2.29
Foster H,27.37,220.42,23.01
Fourier K,13.14,305.64,-30.03
Hevelius E,8.80,294.21,2.95
Fracastorius W,6.64,35.68,-22.69
Franklin H,5.15,43.74,37.12
Fraunhofer A,29.17,61.61,-39.58
Gauss A,20.70,82.76,36.53
Furnerius V,59.18,65.49,-35.71
Furnerius F,52.05,64.12,-36.10
Galilaei G,0.80,292.74,12.65
Galilaei S,2.72,295.22,15.46
Ganskiy (Hansky) F,8.87,98.98,-9.65
Gassendi L,5.32,318.21,-20.39
Hermann L,2.81,300.77,2.43
Gaudibert C,8.03,37.79,-11.56
Gay-Lussac H,5.01,336.66,13.41
Geminus G,14.83,48.57,30.79
Gerard Q Outer,192.48,275.45,46.51
Guericke J,6.99,346.57,-10.61
Halley K,4.45,5.81,-8.56
Hercules E,9.98,38.69,45.79
