name,diameter,center_lon,center_lat,type,code
Sinus Lunicus,119.175000000000000,358.148870060894000,32.364054802757000,"Sinus, sinūs",SI
Marco Polo P,28.062100000000000,359.681517025112000,16.967348569959300,Satellite Feature,SF
Vallis Krishna,2.896130000000000,11.263211495178900,24.502298373223300,"Vallis, valles",VA
Rima Sung-Mei,3.875760000000000,11.284225666085800,24.587807481686200,"Rima, rimae",RI
Rima Siegfried,13.958300000000000,103.006710858528000,-25.821998482058400,"Rima, rimae",RI
Rimae Sosigenes,130.000000000000000,18.717906688311000,8.080298387123600,"Rima, rimae",RI
Montanari,77.054100000000000,339.244930976486000,-45.828220351792000,"Crater, craters",AA
Zeeman,186.556000000000000,224.938703524238000,-75.068215048023100,"Crater, craters",AA
Bürg,41.042300000000000,28.208133931532100,45.073390790671600,"Crater, craters",AA
Carlos,4.669240000000000,2.283174343685180,24.907465407069500,"Crater, craters",AA
C. Herschel,13.701400000000000,328.705050342907000,34.481526781467100,"Crater, craters",AA
Guericke S,10.189400000000000,346.601018490433000,-10.356891463461000,Satellite Feature,SF
Calippus,34.032600000000000,10.717504485965100,38.924890915708100,"Crater, craters",AA
Carol,6.253790000000000,122.368477887399000,8.479245639693860,"Crater, craters",AA
Daniell,28.204000000000000,31.164479216771200,35.420109590870700,"Crater, craters",AA
De Vico,22.134300000000000,299.681141132773000,-19.711412185842200,"Crater, craters",AA
Dorsa Harker,213.143000000000000,63.651957359122500,13.789515950965100,"Dorsum, dorsa",DO
Dorsa Cato,128.636000000000000,47.700502644000000,0.213115364000089,"Dorsum, dorsa",DO
Eudoxus,70.156700000000000,16.225651150320400,44.265566694950400,"Crater, craters",AA
Ewen,2.603140000000000,121.460425251133000,7.690340631068260,"Crater, craters",AA
Fedorov,6.076830000000000,322.953757012628000,28.226549418341500,"Crater, craters",AA
Florensky,69.030500000000000,131.850773489459000,25.451672658400500,"Crater, craters",AA
Franklin,55.920400000000000,47.639682933000100,38.728794826000100,"Crater, craters",AA
Freud,2.845850000000000,307.601499504597000,25.793171944570000,"Crater, craters",AA
Gagarin,261.830000000000000,149.354070036518000,-19.657628465179200,"Crater, craters",AA
Harding,22.573700000000000,288.343828972206000,43.540063680458400,"Crater, craters",AA
Hermite,108.638000000000000,266.684822231626000,86.165944127979100,"Crater, craters",AA
Harkhebi,337.136000000000000,98.744856132892600,40.870480095162300,"Crater, craters",AA
Heron (Hero),28.101200000000000,119.877095469888000,0.652547972205298,"Crater, craters",AA
Ivan,3.844050000000000,316.743242770915000,26.856505398972700,"Crater, craters",AA
Hertzsprung,536.371000000000000,231.343911924122000,1.365063301100240,"Crater, craters",AA
Hind,28.501300000000000,7.305811366068500,-7.917982548623740,"Crater, craters",AA
Ina,2.980580000000000,5.304296563802550,18.658956865838500,"Crater, craters",AA
Isis,0.609748000000000,27.481964782685400,18.953084464790200,"Crater, craters",AA
Joliot,172.794000000000000,93.389604697723900,25.788322039187200,"Crater, craters",AA
Kearons,27.993500000000000,247.081561407163000,-11.587676416700800,"Crater, craters",AA
Karima,3.049600000000000,102.981978225799000,-25.932581740233500,"Crater, craters",AA
Kira,6.806700000000000,132.831644957342000,-17.707294960529000,"Crater, craters",AA
Kirch,11.706700000000000,354.377758367092000,39.265182767769200,"Crater, craters",AA
Lacus Spei,76.671000000000000,65.203512282000100,43.460979859000100,"Lacus, lacūs",LC
Lacchini,57.945100000000000,252.170016961975000,41.294443378055400,"Crater, craters",AA
Kundt,10.308100000000000,348.432482130759000,-11.566971693374300,"Crater, craters",AA
Mach,174.966000000000000,210.763525584112000,18.127930562022000,"Crater, craters",AA
Lacus Bonitatis,122.103000000000000,44.315815274000000,23.183011327000100,"Lacus, lacūs",LC
Lorentz,378.420000000000000,262.813022666280000,34.588614418265400,"Crater, craters",AA
Lacus Gaudii,88.535300000000000,12.274490440000100,16.331916397000000,"Lacus, lacūs",LC
Lacus Hiemalis,48.044300000000000,13.974398124000100,15.007963024000000,"Lacus, lacūs",LC
Lacus Lenitatis,78.251200000000000,12.054861162000100,14.316479367000100,"Lacus, lacūs",LC
Lacus Luxuriae,50.612400000000000,175.504158795691000,19.408301511053500,"Lacus, lacūs",LC
Le Verrier,20.522300000000000,339.390201533708000,40.326623069739800,"Crater, craters",AA
Mons Ampère,29.958700000000000,356.290477980552000,19.323887245689100,"Mons, montes",MO
Mons Dilip,1.368930000000000,120.866579339226000,5.582618937946390,"Mons, montes",MO
Nansen,116.900000000000000,95.380531468563700,81.170758100282000,"Crater, craters",AA
MacMillan,6.879870000000000,352.153411759331000,24.200794973282600,"Crater, craters",AA
